StudentID,Age,StudyHoursPerWeek,AttendanceRate,AssignmentCompletionRate,PreviousGPA,TestAverage,ClassParticipation,HomeworkHoursPerWeek,SleepHoursPerDay,ScreenTimeHoursPerDay,ParentalSupport,MotivationLevel,StressLevel,Tutoring,ExtracurricularActivities,InternetAccess,GPA
STU000021,22,10.2,77.9,100.0,2.9,90.3,52.5,10.5,7.0,5.3,3,5,6,0,0,0,2.42
STU000022,20,12.3,100.0,95.5,2.05,92.1,61.5,5.3,6.2,3.7,5,7,3,0,0,0,2.35
STU000023,18,11.2,98.2,71.8,2.01,88.0,94.7,11.8,6.4,5.5,2,8,5,1,1,1,2.67
STU000024,15,22.3,76.6,80.8,2.32,79.5,71.8,12.2,7.5,1.0,5,6,5,0,0,1,2.19
STU000025,22,18.4,100.0,85.7,3.26,77.6,65.4,10.0,8.5,4.4,1,6,1,0,0,1,2.61
STU000026,19,15.5,100.0,87.3,2.86,75.1,62.9,6.7,6.9,7.3,2,5,9,0,0,1,2.38
STU000027,21,7.7,89.8,91.9,2.64,70.3,61.9,0.0,7.1,2.7,5,1,10,0,0,0,2.0
STU000028,20,3.4,91.8,74.8,1.96,76.8,54.4,8.6,6.8,6.9,3,7,1,1,0,1,1.66
STU000029,18,17.8,63.2,91.3,3.65,66.0,81.4,9.6,7.3,1.0,3,7,9,0,0,1,2.53
STU000030,19,17.1,91.6,82.7,2.74,68.1,77.8,10.0,7.7,3.1,3,10,4,0,0,1,2.36
STU000031,17,12.8,87.4,91.3,2.88,81.3,63.5,6.1,7.3,4.2,5,2,6,0,1,1,2.49
STU000032,20,7.7,77.2,75.3,2.3,62.7,80.1,13.6,7.8,2.6,2,1,7,0,0,1,1.74
STU000033,16,14.0,86.4,90.0,3.58,66.0,67.5,5.5,8.4,1.1,3,9,1,0,1,1,3.26
STU000034,18,23.1,86.4,76.6,2.17,79.8,65.4,8.7,6.6,4.7,1,1,3,1,0,1,2.14
STU000035,17,22.2,81.7,89.2,2.7,85.1,81.3,9.7,7.5,1.4,5,1,2,0,1,1,2.72
STU000036,18,12.3,92.9,89.5,3.39,57.6,67.2,5.8,5.9,3.7,1,7,3,0,1,1,2.87
STU000037,16,13.4,100.0,91.0,2.76,45.3,83.4,7.8,8.1,4.0,3,3,3,0,1,1,2.57
STU000038,18,12.1,77.0,73.8,2.61,56.4,77.9,9.0,8.0,5.6,4,3,5,0,0,1,1.84
STU000039,18,7.3,72.9,98.6,2.6,89.4,83.2,5.5,5.8,2.8,5,3,7,0,1,0,2.34
STU000040,19,17.1,83.9,79.1,2.85,68.0,73.5,4.5,6.8,6.4,1,10,2,0,0,1,2.35
STU000041,15,15.6,90.9,94.5,1.78,68.2,97.4,9.4,6.2,3.9,1,3,3,0,0,1,2.03
STU000042,21,4.6,61.9,84.2,2.49,65.6,59.7,8.6,7.1,1.1,5,1,9,0,0,1,1.87
STU000043,22,18.3,100.0,79.2,2.73,78.8,65.1,4.9,8.4,5.9,4,8,3,0,1,1,2.42
STU000044,18,5.9,73.7,62.2,3.26,69.3,88.5,6.6,5.8,2.3,2,10,7,1,1,1,2.19
STU000045,15,18.6,83.1,86.2,2.92,59.7,65.8,6.9,6.3,4.8,4,4,10,1,1,1,1.92
STU000046,17,17.1,100.0,89.4,2.05,64.4,64.3,7.5,6.6,6.7,1,3,1,1,1,1,2.25
STU000047,15,14.1,91.4,56.7,2.21,78.0,84.7,8.8,7.0,4.6,4,8,10,1,1,1,2.5
STU000048,16,15.9,73.1,89.4,2.62,61.8,63.2,5.8,6.7,4.9,1,6,10,0,1,0,2.29
STU000049,21,28.5,77.1,79.3,2.48,50.6,40.2,8.9,7.4,3.1,4,6,2,0,0,1,1.4
STU000050,18,29.8,88.7,84.1,3.38,84.5,60.9,3.3,8.0,2.8,4,9,6,0,1,1,3.16
STU000051,15,20.0,58.7,71.0,2.78,66.2,100.0,6.0,6.5,4.1,3,8,2,1,1,1,2.33
STU000052,17,13.3,96.8,99.9,3.04,79.3,93.2,9.1,7.7,3.6,1,10,3,0,0,1,2.42
STU000053,16,18.4,82.9,80.9,2.6,88.2,95.1,9.6,8.3,3.7,3,6,4,0,0,1,2.36
STU000054,21,17.7,73.0,54.5,3.15,68.4,64.2,6.5,6.1,4.5,3,4,1,0,1,1,2.17
STU000055,22,14.6,87.2,57.7,2.99,84.4,85.5,5.6,6.7,3.2,4,8,1,0,1,1,2.47
STU000056,22,16.8,97.1,72.8,2.72,91.7,74.6,4.7,6.0,4.7,2,6,7,1,1,1,2.71
STU000057,15,15.9,79.1,77.5,2.94,62.6,71.0,2.2,7.2,2.0,4,7,9,0,1,1,2.17
STU000058,15,13.4,77.4,69.9,2.9,67.5,72.5,7.4,6.3,6.0,5,2,2,1,0,0,2.19
STU000059,20,18.6,87.3,90.7,2.49,28.8,78.9,6.4,8.5,2.6,4,4,9,0,1,1,1.65
STU000060,20,6.5,76.7,68.7,2.44,78.9,81.1,7.0,4.0,3.7,4,9,8,1,1,1,2.2
STU000061,15,2.6,89.8,57.4,3.46,90.6,85.5,9.3,6.9,2.2,1,6,9,1,1,1,2.14
STU000062,16,15.6,79.1,99.4,3.17,47.2,54.4,12.3,7.2,1.3,5,5,4,0,1,1,2.41
STU000063,19,16.2,74.8,91.4,2.54,78.4,83.2,8.8,8.1,5.1,1,8,2,0,1,0,2.2
STU000064,19,13.8,79.2,78.9,2.71,87.0,48.7,11.4,7.8,2.8,5,10,2,0,0,1,2.64
STU000065,17,10.3,62.0,78.1,2.13,56.4,84.7,7.5,4.7,3.8,4,8,9,0,0,1,1.38
STU000066,22,7.2,84.0,76.8,2.41,73.8,62.0,8.0,8.1,3.2,5,5,9,0,0,1,2.08
STU000067,18,4.8,71.9,70.5,4.0,67.9,69.1,9.4,6.7,1.0,3,8,1,0,0,1,2.55
STU000068,17,12.8,94.6,79.9,2.64,76.7,78.2,6.9,6.0,2.9,3,1,10,1,0,1,2.12
STU000069,17,4.5,85.9,83.2,2.82,82.7,91.3,3.5,7.3,6.3,5,9,6,1,1,1,2.94
STU000070,16,13.2,93.3,97.5,3.12,67.1,95.3,3.4,6.7,5.1,4,1,8,0,1,1,2.35
STU000071,21,17.8,81.1,69.5,2.97,84.5,89.6,13.6,6.3,4.2,3,9,9,0,0,1,2.58
STU000072,18,12.3,100.0,93.3,3.55,84.3,50.2,13.4,5.2,1.0,3,10,4,1,0,1,2.97
STU000073,21,11.0,76.3,78.7,3.42,89.4,70.4,11.1,5.5,3.7,1,7,3,0,0,1,2.8
STU000074,15,9.4,72.1,77.5,2.68,72.1,67.4,11.1,6.6,5.7,3,1,6,1,0,1,1.78
STU000075,21,18.7,78.6,57.8,3.38,77.0,86.2,8.0,7.1,4.7,2,9,2,0,1,1,2.53
STU000076,15,14.7,82.9,87.4,3.66,60.2,87.9,2.7,5.4,1.1,4,6,8,0,1,1,2.49
STU000077,22,9.9,91.0,96.1,3.02,70.7,67.3,6.8,9.7,4.3,2,7,2,0,1,1,2.35
STU000078,18,6.9,76.6,85.1,2.81,77.7,69.6,5.0,6.5,6.1,2,6,3,1,1,1,2.12
STU000079,18,2.4,74.8,74.0,2.91,60.9,60.4,11.2,7.3,5.0,1,7,7,0,0,1,1.89
STU000080,20,6.0,92.1,87.7,2.56,73.6,83.0,3.0,6.9,3.3,5,7,1,1,1,1,2.5
STU000081,18,9.5,82.4,74.0,2.67,57.4,100.0,5.8,5.3,1.0,5,2,7,0,1,1,2.32
STU000082,15,13.4,80.3,89.4,2.83,81.5,59.8,9.1,7.1,5.1,4,3,10,0,1,1,2.49
STU000083,22,6.7,100.0,68.5,1.7,68.4,39.0,3.5,6.3,4.0,3,10,7,0,1,1,1.52
STU000084,17,4.1,80.9,87.2,2.36,57.0,87.3,9.2,5.9,3.5,4,8,8,0,0,1,2.08
STU000085,19,14.9,81.3,100.0,3.48,70.9,89.5,7.3,7.1,2.1,3,1,8,0,1,0,2.48
STU000086,15,15.2,74.3,80.6,2.95,73.6,98.0,5.2,7.5,4.0,5,6,9,1,0,1,2.3
STU000087,18,9.4,64.4,59.7,2.72,64.1,71.2,5.8,7.0,1.8,2,5,1,0,1,1,1.58
STU000088,21,17.0,87.2,78.9,2.67,80.3,94.6,11.7,7.7,5.8,3,6,10,0,0,1,2.36
STU000089,17,12.6,93.0,87.9,2.41,92.3,75.8,7.6,6.2,5.1,5,1,1,0,1,1,2.36
STU000090,21,13.6,72.1,88.5,2.21,77.2,52.8,8.1,5.3,2.2,1,7,9,1,1,0,1.73
STU000091,19,17.7,92.7,68.2,1.97,83.5,66.3,6.5,8.3,5.5,2,8,8,1,1,1,1.99
STU000092,16,2.0,80.6,76.9,3.39,66.9,75.5,12.0,6.2,1.0,3,4,4,0,1,1,2.27
STU000093,18,14.7,90.3,100.0,2.58,61.1,89.5,9.0,8.1,1.8,2,5,8,1,1,1,2.46
STU000094,19,11.4,85.2,81.6,2.19,93.5,23.8,0.0,7.8,2.8,5,5,3,0,0,1,1.61
STU000095,18,14.2,77.4,70.9,2.79,57.5,90.7,3.0,5.5,4.7,1,10,6,0,1,1,2.1
STU000096,19,3.1,78.0,80.6,3.22,50.3,58.3,15.8,9.4,5.6,4,10,7,1,1,1,2.35
STU000097,19,16.5,88.0,75.6,2.12,89.2,66.4,5.5,7.3,5.0,1,8,5,0,1,1,2.08
STU000098,19,24.5,81.5,80.8,2.84,56.6,85.1,8.5,6.9,1.0,5,5,5,0,0,0,2.33
STU000099,22,15.3,77.4,80.8,2.45,91.9,59.1,7.7,6.4,5.1,5,2,3,0,0,1,2.36
STU000100,17,14.5,91.2,85.7,2.64,71.8,83.5,2.8,6.2,2.4,1,8,5,0,1,1,2.08
STU000101,18,10.1,76.9,84.6,2.94,78.9,74.9,10.9,7.0,6.5,5,8,2,0,1,1,2.08
STU000102,22,12.4,87.4,67.3,2.91,94.7,63.2,9.1,7.4,3.6,3,8,10,0,0,0,2.26
STU000103,19,11.8,91.9,85.5,1.49,57.9,72.9,6.1,7.9,6.5,5,8,2,1,0,1,2.11
STU000104,16,16.1,89.6,86.1,2.12,88.2,68.3,3.6,8.5,1.0,5,6,7,0,1,0,2.51
STU000105,22,19.3,82.7,81.1,2.89,74.3,82.1,0.0,4.7,4.6,3,5,10,0,1,1,2.1
STU000106,17,20.4,80.7,70.6,1.86,66.3,83.8,7.8,8.5,3.4,4,9,8,0,1,1,1.96
STU000107,21,20.3,71.2,74.7,2.82,92.1,89.7,6.9,7.0,4.0,5,8,9,0,0,1,2.42
STU000108,22,19.7,87.3,74.1,3.5,86.3,91.5,10.5,7.5,4.1,1,3,6,0,1,1,2.65
STU000109,16,15.7,70.8,61.7,3.02,62.9,68.1,8.3,5.2,5.6,1,2,8,0,1,1,1.76
STU000110,22,15.1,71.3,79.6,3.99,79.4,76.7,6.1,6.4,1.0,4,1,2,0,0,1,2.61
STU000111,21,6.9,75.8,93.6,2.76,74.1,64.5,8.2,8.6,4.8,4,6,4,0,0,1,2.28
STU000112,18,11.0,78.0,79.4,2.93,87.1,60.0,8.7,6.5,4.7,5,7,6,0,0,1,2.18
STU000113,18,10.3,87.5,83.3,3.42,61.7,74.1,9.7,8.8,3.6,3,5,1,1,1,1,2.58
STU000114,20,5.8,75.7,70.0,1.55,68.5,76.8,4.8,6.1,6.2,3,3,3,1,0,1,1.4
STU000115,17,3.8,81.6,88.4,1.63,70.1,48.4,3.5,7.6,6.1,2,2,4,1,0,1,1.51
STU000116,18,18.3,93.2,67.4,1.44,97.9,82.0,7.9,7.5,3.8,1,3,5,1,0,1,1.79
STU000117,22,14.3,85.7,60.4,4.0,83.1,77.2,5.9,6.1,2.9,5,3,4,0,1,1,3.15
STU000118,16,16.8,73.3,89.5,3.3,85.9,80.8,8.8,6.8,3.8,3,1,9,1,1,0,2.57
STU000119,22,9.6,79.5,93.9,3.4,54.5,83.7,0.8,6.8,1.0,5,3,8,1,1,1,2.65
STU000120,20,20.0,84.3,73.1,3.21,58.9,71.2,6.3,6.2,2.2,2,6,9,0,1,1,2.41
STU000121,20,17.9,80.6,80.2,3.75,61.1,56.8,7.0,8.5,2.5,4,8,9,1,1,1,2.74
STU000122,22,18.7,93.0,84.8,1.97,82.8,81.1,7.5,5.2,2.2,5,9,8,1,0,1,2.46
STU000123,22,20.3,100.0,81.0,3.33,69.0,53.3,5.5,5.3,4.8,4,3,6,0,0,0,2.76
STU000124,15,19.2,73.2,77.9,2.47,76.0,41.5,6.0,7.6,3.1,3,3,1,1,1,1,2.02
STU000125,20,18.2,77.5,100.0,3.38,63.0,71.8,10.6,7.5,3.2,5,1,5,0,1,1,2.53
STU000126,22,14.1,73.8,96.9,2.45,63.3,75.2,11.5,8.0,4.7,5,6,4,0,1,1,2.66
STU000127,20,25.7,78.8,55.8,3.76,68.0,54.6,9.4,6.9,3.9,5,4,1,0,0,1,2.92
STU000128,20,19.6,80.7,97.1,3.98,66.6,98.5,1.8,8.4,4.1,4,4,10,0,0,1,3.18
STU000129,20,10.1,88.3,93.3,3.44,75.9,75.6,6.3,7.1,3.7,3,6,1,1,0,0,2.86
STU000130,15,10.9,82.4,71.1,2.7,81.9,42.0,4.6,5.6,4.6,5,9,2,0,0,1,2.04
STU000131,15,17.7,95.7,88.2,2.48,87.1,82.5,10.9,7.7,3.4,3,8,1,1,0,1,2.66
STU000132,15,6.4,75.8,45.3,3.0,68.3,86.5,7.9,5.9,3.6,5,2,2,0,1,1,1.61
STU000133,16,10.1,83.7,97.0,2.67,43.4,54.8,9.4,7.9,4.4,1,7,6,0,1,0,1.97
STU000134,21,27.9,69.6,70.8,3.58,45.8,61.2,9.4,8.7,1.7,1,3,10,1,1,1,1.84
STU000135,22,9.6,77.6,96.3,3.13,54.1,66.9,6.9,6.5,4.0,4,4,3,0,0,1,2.14
STU000136,22,4.3,83.8,62.3,2.59,81.0,68.6,4.5,8.1,4.3,1,10,9,0,1,1,1.51
STU000137,22,6.9,93.3,68.6,2.0,77.5,77.5,0.5,7.2,1.0,1,3,1,0,1,1,1.87
STU000138,22,13.7,76.2,97.2,3.13,49.8,62.1,10.4,7.0,2.8,3,8,8,1,1,1,2.06
STU000139,17,8.8,87.3,91.1,2.41,64.8,88.4,8.9,8.0,5.5,4,7,5,0,0,1,2.04
STU000140,15,7.2,92.8,85.8,2.96,49.2,64.9,12.1,6.8,4.6,4,2,1,0,0,0,2.35
STU000141,15,9.1,98.8,82.9,2.94,77.7,58.4,6.7,8.1,5.2,2,10,9,0,0,1,2.61
STU000142,18,12.3,81.6,100.0,1.77,81.0,75.4,11.3,7.3,1.8,4,6,7,0,1,1,2.1
STU000143,22,20.6,67.8,92.8,2.58,73.5,39.9,4.7,7.7,1.7,1,1,5,1,0,1,1.78
STU000144,16,22.1,87.3,74.4,3.06,77.8,75.9,6.3,6.0,4.0,5,8,7,0,1,0,2.72
STU000145,17,17.7,84.5,81.2,3.13,67.3,65.0,5.2,8.8,3.8,3,9,7,1,1,1,2.54
STU000146,15,12.0,83.5,92.1,3.5,79.0,51.3,8.9,7.5,3.8,5,3,9,1,1,1,2.64
STU000147,17,24.7,97.7,63.8,2.31,85.0,83.3,3.6,6.0,7.6,1,8,10,0,1,1,2.22
STU000148,15,23.2,78.9,78.4,1.71,61.3,62.4,7.6,7.2,1.0,3,4,9,1,0,1,1.06
STU000149,18,24.0,88.3,74.3,3.56,65.8,86.9,10.0,7.3,5.1,5,10,5,0,0,1,2.82
STU000150,17,13.2,83.8,79.3,3.13,75.1,72.3,6.4,8.1,5.8,1,7,1,0,1,1,2.8
STU000151,15,15.3,92.7,83.1,2.53,83.7,94.5,9.4,7.5,4.3,5,1,9,0,0,1,2.1
STU000152,20,22.1,85.8,58.7,2.59,69.5,74.5,12.7,5.7,5.0,3,6,8,0,0,1,2.06
STU000153,21,13.5,92.3,86.7,2.73,56.6,63.7,4.3,5.6,4.8,4,8,4,0,0,1,2.44
STU000154,19,19.2,90.8,99.4,2.85,84.2,70.7,11.3,5.0,4.2,3,7,5,1,0,1,2.73
STU000155,15,12.6,84.1,71.2,3.17,58.1,69.3,4.5,5.5,5.5,4,5,6,1,0,1,2.2
STU000156,17,8.0,82.8,79.7,1.81,93.6,78.2,6.2,9.5,3.4,5,4,10,0,0,1,1.68
STU000157,21,8.3,77.6,87.1,2.66,71.6,74.7,7.7,7.0,5.7,2,4,5,0,1,1,1.98
STU000158,16,14.9,85.3,57.1,2.38,76.3,75.7,8.9,6.0,1.0,3,10,2,0,1,1,2.21
STU000159,16,23.3,90.6,65.9,2.44,56.6,45.6,11.2,7.0,3.8,4,5,8,0,0,1,1.5
STU000160,19,21.3,83.4,77.6,2.42,65.6,79.5,9.0,7.1,1.3,5,4,2,0,0,1,2.46
STU000161,17,7.2,78.3,79.6,3.08,64.1,57.6,2.1,8.0,2.5,3,1,10,0,1,1,1.86
STU000162,18,21.6,91.8,53.9,2.49,91.6,70.0,8.4,6.9,1.8,4,5,10,0,0,0,1.9
STU000163,17,12.0,73.5,85.3,3.3,33.7,86.9,4.0,8.2,6.2,4,6,10,0,1,1,1.78
STU000164,20,10.0,84.5,90.6,2.82,67.9,82.1,6.7,8.7,1.0,4,1,9,0,0,1,2.13
STU000165,19,10.9,90.8,75.8,2.44,64.3,99.4,6.6,6.4,2.2,4,5,1,0,0,1,2.49
STU000166,22,11.8,83.5,82.1,2.49,54.7,71.8,9.7,7.6,4.8,1,9,10,0,0,1,1.5
STU000167,19,20.2,91.0,96.7,1.7,54.2,74.7,13.3,8.2,3.1,2,10,2,0,0,0,2.14
STU000168,19,30.5,93.4,100.0,2.88,56.9,61.3,8.2,7.2,3.7,1,9,3,0,0,1,2.62
STU000169,21,9.5,76.8,83.5,3.27,69.0,80.3,6.6,6.4,8.3,5,4,9,1,0,1,1.92
STU000170,20,10.7,82.1,88.8,3.05,86.0,76.1,4.4,5.9,4.9,1,8,9,1,0,1,2.59
STU000171,21,17.0,100.0,81.4,2.21,69.7,59.9,11.0,7.7,4.9,1,5,6,0,1,1,1.8
STU000172,15,17.6,72.0,69.9,2.25,60.2,80.7,5.4,6.2,5.4,5,5,1,1,0,1,1.65
STU000173,18,18.6,90.6,58.9,2.84,87.7,88.0,11.8,8.8,5.1,5,1,1,0,0,0,2.47
STU000174,17,15.1,100.0,79.8,2.73,89.0,73.4,7.2,5.7,1.0,3,3,6,0,1,0,2.46
STU000175,15,10.2,99.0,90.5,2.37,64.1,58.3,5.5,5.8,4.0,3,10,6,0,1,1,2.19
STU000176,22,15.3,85.0,97.5,2.17,88.9,83.8,8.3,7.4,4.2,2,1,3,0,1,1,2.36
STU000177,16,7.7,91.3,74.8,2.67,53.4,80.0,10.7,7.8,7.2,3,8,8,0,0,1,1.56
STU000178,21,15.5,90.2,87.8,2.27,86.4,58.1,9.2,7.7,4.2,1,9,3,0,1,1,2.38
STU000179,19,13.1,84.6,78.4,3.26,44.2,65.4,11.4,5.6,2.9,2,1,10,1,0,1,2.23
STU000180,21,19.8,91.2,70.7,2.27,63.9,77.6,10.9,6.9,3.8,1,1,3,0,1,1,1.66
STU000181,19,13.6,87.1,84.0,2.59,73.0,58.3,9.1,7.4,6.9,5,3,7,1,0,1,2.03
STU000182,20,16.5,75.8,71.4,3.32,66.7,71.3,6.4,8.0,4.6,4,5,1,0,1,1,2.43
STU000183,17,10.7,82.3,76.2,2.25,90.0,83.4,1.8,9.9,5.1,3,4,9,0,1,1,1.65
STU000184,20,19.2,95.5,77.7,3.58,63.9,48.6,3.1,7.6,1.6,3,7,10,0,1,0,2.14
STU000185,19,7.5,96.7,88.8,2.71,80.6,61.2,8.4,7.7,5.1,1,8,9,0,0,1,2.47
STU000186,16,15.8,82.2,83.3,2.53,60.6,64.3,3.3,7.5,4.3,5,8,4,1,0,1,2.3
STU000187,15,12.5,90.4,85.3,3.33,65.3,78.5,9.2,8.6,1.8,5,7,8,0,1,1,2.53
STU000188,15,14.8,96.3,79.7,2.28,77.9,66.3,2.4,6.4,1.0,4,10,4,0,1,0,2.57
STU000189,17,11.5,72.7,61.8,2.77,49.4,88.4,0.1,7.6,6.0,2,7,4,1,1,1,1.89
STU000190,22,12.9,77.8,76.0,2.22,68.8,71.5,4.2,9.5,5.8,4,1,2,1,1,1,1.72
STU000191,20,14.4,77.2,95.5,2.57,87.8,63.9,6.2,6.5,7.4,3,3,10,1,0,1,2.21
STU000192,16,13.4,75.5,87.8,2.31,65.1,69.4,4.5,6.7,2.3,2,8,3,0,1,1,1.77
STU000193,16,11.4,100.0,81.8,2.63,85.0,71.9,11.9,8.4,4.4,3,10,9,0,0,1,2.41
STU000194,16,14.7,97.3,97.5,2.72,81.4,87.6,8.6,8.5,3.6,2,1,2,0,1,1,2.79
STU000195,17,14.5,94.5,71.0,3.18,64.4,75.4,8.2,6.5,3.7,5,6,5,0,1,1,2.12
STU000196,15,15.4,80.1,87.2,2.61,63.2,29.6,8.1,7.7,1.3,4,4,4,0,0,1,1.57
STU000197,17,16.0,86.0,79.2,3.4,62.6,100.0,6.0,6.5,4.5,5,1,2,0,0,1,2.42
STU000198,17,14.1,72.3,89.6,2.3,58.5,75.8,11.2,7.0,4.2,1,6,9,0,1,0,1.79
STU000199,16,19.0,73.0,83.9,3.17,92.8,98.5,4.4,6.5,3.0,1,10,9,0,1,1,2.67
STU000200,19,17.9,87.7,84.9,3.2,75.2,66.0,6.2,8.3,3.7,1,2,7,0,1,1,2.13
STU000201,20,10.5,87.8,80.5,2.68,76.4,55.7,5.1,5.1,1.4,5,6,10,1,1,1,2.22
STU000202,21,20.0,84.3,89.9,3.84,90.6,94.9,1.0,8.2,2.5,3,9,1,0,0,0,3.45
STU000203,18,17.0,71.2,83.7,3.29,73.4,73.1,9.6,7.3,4.5,2,9,6,1,1,0,2.74
STU000204,19,5.9,85.6,69.5,3.26,46.9,99.0,5.7,7.7,4.8,5,1,7,0,0,1,1.98
STU000205,22,5.1,69.2,94.8,2.68,45.4,100.0,9.7,7.9,4.3,2,4,7,0,0,1,2.23
STU000206,22,17.6,89.3,69.2,3.12,60.7,49.5,4.5,6.7,1.0,3,5,1,0,0,0,2.3
STU000207,19,22.1,79.6,78.1,2.14,69.3,75.3,10.7,6.3,5.7,1,10,9,0,1,1,1.76
STU000208,18,6.0,79.2,71.4,3.44,73.0,72.3,6.2,6.9,4.9,3,1,6,1,0,1,2.02
STU000209,22,12.4,81.1,66.8,3.46,72.4,72.5,7.4,7.2,1.0,2,7,7,0,0,1,2.23
STU000210,18,4.7,73.9,86.6,2.9,75.2,94.2,8.1,7.9,4.7,4,4,5,0,0,1,2.37
STU000211,15,11.9,83.0,85.6,3.21,54.5,71.9,10.3,8.4,4.2,1,9,5,1,1,0,2.28
STU000212,18,22.1,87.1,70.8,2.12,77.5,82.4,6.3,5.7,4.0,5,9,8,0,0,1,1.86
STU000213,17,15.8,95.6,70.9,2.97,86.9,81.7,10.9,6.3,4.1,1,8,10,0,1,1,2.43
STU000214,21,5.8,82.1,99.2,2.12,95.3,54.1,6.3,9.2,4.7,2,9,9,1,1,0,2.49
STU000215,18,13.6,97.2,80.7,2.77,84.4,58.2,12.9,7.7,5.0,1,7,5,0,1,1,2.41
STU000216,15,5.3,93.5,85.0,3.33,71.0,75.9,8.7,7.5,3.9,3,9,5,0,0,1,2.73
STU000217,16,15.1,99.3,79.4,3.32,73.9,67.3,5.8,6.7,1.9,3,5,7,0,1,1,2.73
STU000218,19,20.1,79.5,82.2,3.01,80.0,47.3,9.0,7.6,1.8,2,4,4,0,1,1,2.17
STU000219,15,11.6,85.1,89.6,3.87,68.8,85.4,10.5,7.8,4.1,2,9,7,0,1,0,3.09
STU000220,22,9.7,64.8,84.4,2.08,83.7,57.7,9.4,7.3,4.9,2,2,6,1,0,1,0.94
STU000221,19,11.7,90.2,68.2,2.3,87.1,48.5,1.6,8.6,5.2,2,8,1,1,1,0,2.06
STU000222,17,7.8,66.6,80.8,3.3,60.5,71.3,11.4,6.3,3.2,5,4,2,1,1,1,2.02
STU000223,16,24.0,81.1,74.7,3.04,51.2,68.4,5.3,7.9,3.7,3,7,4,0,0,0,1.94
STU000224,17,23.1,100.0,67.8,2.9,75.5,65.3,7.2,6.7,5.0,4,4,3,1,1,1,2.65
STU000225,16,20.9,77.5,79.5,1.3,70.7,89.2,7.1,7.9,3.4,5,3,7,0,1,1,1.92
STU000226,16,11.8,86.9,62.9,2.95,76.7,73.7,7.4,6.2,2.5,1,9,6,0,1,1,2.75
STU000227,19,14.2,81.8,76.5,3.13,100.0,93.5,7.9,8.7,2.5,3,5,2,0,1,1,3.03
STU000228,20,14.9,95.5,80.3,2.99,90.7,84.2,5.5,6.0,3.8,5,2,2,0,1,1,2.62
STU000229,22,15.4,87.0,52.9,1.75,73.5,75.9,12.0,5.9,5.5,2,2,3,0,0,1,1.86
STU000230,19,18.9,88.2,66.2,3.6,95.3,84.4,11.1,7.6,3.7,1,5,4,0,1,1,3.08
STU000231,16,21.6,94.3,86.5,3.68,81.2,77.1,5.9,7.7,3.5,1,3,6,0,1,1,2.8
STU000232,17,13.1,79.0,81.8,2.9,79.8,87.5,11.8,5.9,3.2,5,4,9,1,0,1,2.18
